title,price,image_link
"
Сотовый телефон Xiaomi Redmi 10A 3/64GB серый
","

 10680 сом
-2%

10500 сом
",/images/product/107526/1655262496_92690500.jpg
"
Сотовый телефон Xiaomi Redmi Note 11 6/128GB синий
","
15960 сом
",/images/product/103434/1645002019_77390500.png
"
Сотовый телефон Apple iPhone 13 128GB зеленый
","
66240 сом
",/images/product/105482/1650357323_84906500.png
"
Сотовый телефон Xiaomi 12X 8/128GB голубой
","
43040 сом
",/images/product/107274/1654619545_31822900.jpg
"
Сотовый телефон Samsung Galaxy A03s 2/32GB черный
","
10500 сом
",/images/product/109066/1658515264_83337500.jpg
"
Сотовый телефон Xiaomi Redmi 9C 4/128GB серый
","
10950 сом
",/images/product/95755/1627654600_03946800.jpg
"
Сотовый телефон Xiaomi Redmi Note 11 6/128GB голубой
","
15960 сом
",/images/product/103435/1645002057_84343700.jpg
"
Сотовый телефон Xiaomi 12 8/256GB голубой
","
47810 сом
",/images/product/105227/1649418971_59438400.jpg
"
Сотовый телефон Apple iPhone 13 256GB зеленый
","
75500 сом
",/images/product/105483/1650357352_25448500.png
"
Сотовый телефон Xiaomi Redmi 10A 2/32GB черный
","

 9210 сом
-4%

8840 сом
",/images/product/108299/1656851875_65254900.jpg
"
Сотовый телефон Samsung Galaxy A03s 2/32GB синий
","
10500 сом
",/images/product/109067/1658515281_67990100.jpg
"
Сотовый телефон Samsung Galaxy Note 20 Ultra 5G 12/256GB белый
","
74980 сом
",/images/product/95756/1627808224_15778300.jpg
"
Сотовый телефон Samsung Galaxy A13 4G 4/128GB белый
","
15520 сом
",/images/product/105484/1650357974_27932300.jpg
"
Сотовый телефон Apple iPhone 12 128GB черный
","

 60420 сом
-1%

59530 сом
",/images/product/85005/1643526274_78712300.png
"
Сотовый телефон Samsung Galaxy Note 20 Ultra 5G 12/256GB черный
","
74980 сом
",/images/product/95757/1627808275_13416200.jpg
"
Сотовый телефон Samsung Galaxy A13 4G 4/128GB персиковый
","
15520 сом
",/images/product/105485/1650358086_11066600.jpg
"
Сотовый телефон Samsung Galaxy Note 20 Ultra 5G 12/256GB бронзовый
","
74980 сом
",/images/product/95758/1627808340_15191000.jpg
"
Сотовый телефон Xiaomi 12 Pro 12/256GB голубой
","

 68970 сом
-12%

60420 сом
",/images/product/105230/1649420104_56081500.jpg
"
Сотовый телефон Samsung Galaxy A13 4G 4/128GB голубой
","
15520 сом
",/images/product/105486/1650358323_75303600.jpg
"
Сотовый телефон Xiaomi 12 Pro 12/256GB серый
","

 68000 сом
-11%

60420 сом
",/images/product/105231/1649420344_67821700.jpg
"
Сотовый телефон Xiaomi 12 Lite 6/128GB черный
","
29280 сом
",/images/product/109071/1658516810_62408600.jpg
"
Сотовый телефон Xiaomi 12 Pro 12/256GB фиолетовый 
","

 68970 сом
-12%

60420 сом
",/images/product/105232/1649420536_95159600.jpg
"
Сотовый телефон Xiaomi Redmi Note 11 Pro 4G 6/64GB серый
","

 18620 сом
-2%

18260 сом
",/images/product/105234/1649421144_46769300.jpg
"
Сотовый телефон Xiaomi Redmi 10A 3/64GB черный
","

 10680 сом
-2%

10500 сом
",/images/product/109074/1658517593_39497600.jpg
"
Сотовый телефон Xiaomi Poco M5 6/128GB желтый
","
15520 сом
",/images/product/114706/1670170580_42110600.jpg
"
Сотовый телефон Xiaomi Redmi 10A 3/64GB синий
","

 10680 сом
-2%

10500 сом
",/images/product/109075/1658517610_56121800.jpg
"
Сотовый телефон Apple iPhone 12 128GB синий
","

 60420 сом
-1%

59530 сом
",/images/product/85012/1643526361_96879600.png
"
Сотовый телефон Xiaomi Redmi 10C 4/64GB синий
","
12520 сом
",/images/product/105236/1649421688_26701400.jpg
"
Сотовый телефон Apple iPhone 12 128GB зеленый
","

 60420 сом
-1%

59530 сом
",/images/product/85013/1643526404_67562500.png
"
Сотовый телефон Apple iPhone 12 128GB белый
","

 60420 сом
-1%

59530 сом
",/images/product/85014/1643526452_17028900.png
"
Сотовый телефон Samsung Galaxy A13 (SM-A137) 4/64GB голубой
","
13330 сом
",/images/product/115990/1673514385_69224500.jpg
"
Сотовый телефон Samsung Galaxy A13 4G 4/128GB черный
","
15520 сом
",/images/product/105240/1649532350_74060700.jpg
"
Сотовый телефон Xiaomi Redmi Note 10S 6/128GB черный
","
15080 сом
",/images/product/93209/1622210076_99878100.jpg
"
Сотовый телефон Xiaomi Redmi 10C 4/64GB серый
","
12520 сом
",/images/product/105498/1650368060_68248100.jpg
"
Сотовый телефон Nokia 230 Dual Sim белый
","
5290 сом
",/images/product/42779/42779.jpg
